feature,top_k_count,mean_ap_drop,ap_drop_std_across_folds,top_k_frequency
feature_208,0,-0.00036772610523728885,0.0029809248758718644,0.0
feature_308,0,-0.00037996782000426224,0.004345381880026889,0.0
feature_470,0,-0.00038388168491650945,0.0030631385452990567,0.0
feature_251,0,-0.0003869687873005215,0.0019208420114027384,0.0
feature_392,0,-0.00038898846640684397,0.0020842238437915024,0.0
feature_331,0,-0.00039167691792989874,0.004669515779284891,0.0
feature_094,0,-0.0003958345534885037,0.0017095694223242404,0.0
feature_022,0,-0.0003966894313940557,0.0012286059341570634,0.0
feature_425,0,-0.00039806115664206933,0.0062926807587386025,0.0
feature_255,0,-0.00042668713102876144,0.002533198693669153,0.0
feature_568,0,-0.00043272470641490536,0.0005621475760062787,0.0
feature_110,0,-0.00044152307646738357,0.0011893698164693579,0.0
feature_460,0,-0.0004452875881786167,0.0010762506315882539,0.0
feature_057,0,-0.00045908799412992156,0.002144882879229672,0.0
feature_544,0,-0.00045957787343497053,0.00024397924232802534,0.0
feature_119,0,-0.00047180568147598784,0.0010747845749734686,0.0
feature_144,0,-0.0004725079392679836,0.002260910556508006,0.0
feature_578,0,-0.00047336409699077494,0.003513209566153766,0.0
feature_036,0,-0.0004851233588877976,0.0010683612656600607,0.0
feature_453,0,-0.0004956319017219306,0.004192630519820588,0.0
feature_574,0,-0.000495801441506577,0.003193650280565605,0.0
feature_212,0,-0.0004987661617044189,0.004792497473387644,0.0
feature_543,0,-0.0005350130297734271,0.0010823505673531353,0.0
feature_365,0,-0.0005434398177933175,0.0019122105820781627,0.0
feature_278,0,-0.000552624540360852,0.0021046592794204395,0.0
feature_305,0,-0.0005652430416452839,0.003772939221526404,0.0
feature_386,0,-0.000593043845095435,0.0010737035167100316,0.0
feature_150,0,-0.000607117518220888,0.0033869328093834865,0.0
feature_319,0,-0.0006245458271292139,0.010380285087370468,0.0
feature_459,0,-0.0006301425979694372,0.004635453618149601,0.0
feature_297,0,-0.0006379840766674712,0.002538312907922794,0.0
feature_161,0,-0.0006489609654205754,0.0061135141765949925,0.0
feature_439,0,-0.0006551342450114554,0.0023956599031867178,0.0
feature_432,0,-0.0006569905762306797,0.003981001776152777,0.0
feature_302,0,-0.0006737097806945037,0.0018037234387647321,0.0
feature_553,0,-0.0006940991610143257,0.004708203663659198,0.0
feature_154,0,-0.0007056906499883553,0.0010801628686944442,0.0
feature_073,0,-0.0007581875771004628,0.002482036737492931,0.0
feature_334,0,-0.0007586368870649746,0.0025803442842406016,0.0
feature_089,0,-0.0007656933557133502,0.005508273303177191,0.0
feature_228,0,-0.0007670497874447532,0.003040581666680013,0.0
feature_300,0,-0.000773999542989817,0.004113432013695826,0.0
feature_003,0,-0.0007798362861801708,0.0009412347318675462,0.0
feature_362,0,-0.0007995304404851634,0.00592378857749567,0.0
feature_368,0,-0.0008321301048944683,0.0041484551328265385,0.0
feature_344,0,-0.0008400675759426286,0.005143000641402756,0.0
feature_352,0,-0.000854817720738053,0.0018079746736910788,0.0
feature_339,0,-0.0008719292158330691,0.002167257327810759,0.0
feature_198,0,-0.0008746912111750975,0.0010951901571242743,0.0
feature_045,0,-0.0008784027892353534,0.004490588045320104,0.0
feature_071,0,-0.000884221387068381,0.0029690512242281646,0.0
feature_188,0,-0.0008962696197486686,0.001663684621491528,0.0
feature_420,0,-0.0008989587992599968,0.0011143798866572112,0.0
feature_421,0,-0.0009062266984924312,0.004516931160113385,0.0
feature_254,0,-0.0009106587576348061,0.001174136580316981,0.0
feature_457,0,-0.0009360400885661072,0.0034943893807402263,0.0
feature_099,0,-0.0009360725123046737,0.0037400410656980164,0.0
feature_355,0,-0.0009408062183544064,0.002401179332440643,0.0
feature_357,0,-0.0009447909982405875,0.0016539191445419088,0.0
feature_565,0,-0.0009508768844525229,0.0017102461184497718,0.0
feature_426,0,-0.0009544185023723284,0.0032265875390076176,0.0
