feature,folds_retained,top_k_count,mean_standardized_coefficient,mean_absolute_coefficient,coefficient_std_across_folds,median_absolute_rank,sign_consistency,retained_frequency,top_k_frequency
feature_202,3,0,-0.06349781755084619,0.14600516863939628,0.18856325586305028,252.0,0.6666666666666667,1.0,0.0
feature_027,3,0,0.14583796448097197,0.14583796448097197,0.14625972530321216,227.0,1.0,1.0,0.0
feature_548,3,0,0.09255043730626612,0.1458124694651723,0.1567470033044916,239.0,0.6666666666666666,1.0,0.0
feature_549,3,0,-0.0010730828028666373,0.14512917453523574,0.20311971927485578,192.0,0.6666666666666666,1.0,0.0
feature_393,3,0,0.14419739830360645,0.14419739830360645,0.0558245610422392,223.0,1.0,1.0,0.0
feature_546,3,0,0.14293550275964548,0.14293550275964548,0.014760866956446838,207.0,1.0,1.0,0.0
feature_571,3,0,-0.14096149249504433,0.14293517099202732,0.12464012049092439,161.0,0.6666666666666667,1.0,0.0
feature_430,3,0,0.14255840999437772,0.14255840999437772,0.05943438953192965,221.0,1.0,1.0,0.0
feature_444,3,0,-0.14034601776784578,0.14034601776784578,0.05448926078599093,270.0,1.0,1.0,0.0
feature_221,3,0,-0.14013445851661108,0.14013445851661108,0.059336481840837084,212.0,1.0,1.0,0.0
feature_368,3,0,-0.13993188414003552,0.13993188414003552,0.10941566221497831,289.0,1.0,1.0,0.0
feature_203,3,0,0.05462309729018389,0.13990100539379294,0.20539044013130447,291.0,0.6666666666666667,1.0,0.0
feature_051,3,0,-0.13966950576203796,0.13966950576203796,0.12402745579266554,235.0,1.0,1.0,0.0
feature_560,3,0,-0.13908503773587708,0.13908503773587708,0.01616325933337487,242.0,1.0,1.0,0.0
feature_019,3,0,0.13882269462024263,0.13882269462024263,0.08926174094817341,174.0,1.0,1.0,0.0
feature_304,3,0,0.013616290151756777,0.13814684276424882,0.20438729082469,225.0,0.6666666666666666,1.0,0.0
feature_483,3,0,-0.021567215238306417,0.13761306823181135,0.18810713393042264,234.0,0.6666666666666666,1.0,0.0
feature_282,3,0,0.08417794298932128,0.13732695840870165,0.1481275062159432,251.0,0.6666666666666666,1.0,0.0
feature_587,3,0,0.13701867900650033,0.13701867900650033,0.020665665265860594,245.0,1.0,1.0,0.0
