feature,logistic_top20_frequency,mean_absolute_coefficient,mean_standardized_coefficient,sign_consistency,rf_top20_frequency,mean_ap_drop,ap_drop_std_across_folds,logistic_rank,rf_rank,meets_either_method_60pct_rule,meets_both_methods_60pct_rule,evidence_frequency_sum,mean_rank
feature_273,0.0,0.15340826792590714,-0.04103479784038733,0.6,0.0,0.0010451636326156441,0.0031838531051770684,365.0,149.0,False,False,0.0,257.0
feature_572,0.0,0.13377794619449007,0.13377794619449007,1.0,0.0,0.0012968908856919481,0.0036188454492743854,389.0,126.0,False,False,0.0,257.5
feature_383,0.0,0.1134336114169883,0.09519701196792053,0.9333333333333333,0.0,0.001741586401751947,0.004200529557097622,426.0,90.0,False,False,0.0,258.0
feature_393,0.0,0.16519563239014784,-0.05196193972732858,0.5333333333333333,0.0,0.0006083398950146405,0.004056449043893871,334.0,186.0,False,False,0.0,260.0
feature_171,0.0,0.11671170748220065,-0.06607320395410157,0.7333333333333334,0.0,0.0014651034678176522,0.004338477071765933,422.0,103.0,False,False,0.0,262.5
feature_412,0.0,0.1516658923182807,0.02130726105370393,0.6,0.0,0.0008377260037536841,0.004275037592214118,367.0,160.0,False,False,0.0,263.5
feature_114,0.0,0.19826487366647647,0.02289984054976226,0.5333333333333333,0.0,1.0081576752561199e-05,2.2543090939108417e-05,270.0,258.0,False,False,0.0,264.0
feature_557,0.0,0.2985809783271119,0.2985809783271119,1.0,0.0,-2.0873705104542372e-05,0.004125673746205429,139.0,389.0,False,False,0.0,264.0
feature_324,0.0,0.2990504920313308,-0.21926673624390033,0.7333333333333334,0.0,-5.479710056298659e-05,0.0027489844533407346,137.0,392.0,False,False,0.0,264.5
feature_005,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_013,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_042,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_049,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_052,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_069,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_097,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_141,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_149,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_178,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_179,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_186,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_189,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_190,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_191,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_192,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_193,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_194,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_226,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
