feature,logistic_top20_count,logistic_top20_frequency,mean_absolute_coefficient,sign_consistency,rf_positive_top20_count,rf_positive_top20_frequency,mean_ap_drop,logistic_meets_2_of_3,rf_meets_2_of_3,meets_both_methods_2_of_3,temporal_evidence_count_sum
feature_082,0,0.0,0.15938490030351812,0.6666666666666666,0,0.0,0.0001894662100351606,False,False,False,0
feature_553,0,0.0,0.15834467368629448,0.6666666666666667,0,0.0,-5.610072590267313e-05,False,False,False,0
feature_196,0,0.0,0.15758987616300535,0.6666666666666667,0,0.0,-0.0016042323025565958,False,False,False,0
feature_245,0,0.0,0.15732677028751912,1.0,0,0.0,-6.188581599803993e-05,False,False,False,0
feature_296,0,0.0,0.1571948266720833,1.0,0,0.0,0.00015601082972355648,False,False,False,0
feature_439,0,0.0,0.1556573946558171,0.6666666666666667,0,0.0,0.0001892824547812926,False,False,False,0
feature_120,0,0.0,0.15481985429980671,0.6666666666666666,0,0.0,-0.002836506962043009,False,False,False,0
feature_576,0,0.0,0.15271860563158926,1.0,0,0.0,-0.0002469814087757612,False,False,False,0
feature_072,0,0.0,0.1523998946263144,1.0,0,0.0,0.00042168949329109763,False,False,False,0
feature_475,0,0.0,0.14775332926809695,0.6666666666666667,0,0.0,2.0312079978155224e-05,False,False,False,0
feature_426,0,0.0,0.14734970264736916,1.0,0,0.0,-0.00048216578517036823,False,False,False,0
feature_027,0,0.0,0.14583796448097197,1.0,0,0.0,5.721243458921434e-06,False,False,False,0
feature_548,0,0.0,0.1458124694651723,0.6666666666666666,0,0.0,-0.000659525691148324,False,False,False,0
feature_549,0,0.0,0.14512917453523574,0.6666666666666666,0,0.0,0.0001105358380662456,False,False,False,0
feature_393,0,0.0,0.14419739830360645,1.0,0,0.0,-0.0005546465902905014,False,False,False,0
feature_546,0,0.0,0.14293550275964548,1.0,0,0.0,-0.00031443894298917226,False,False,False,0
