feature,positive_top_k_count,mean_ap_drop,ap_drop_std_across_folds,median_positive_rank,positive_top_k_frequency
feature_451,0,0.0,0.0,,0.0
feature_458,0,0.0,0.0,,0.0
feature_461,0,0.0,0.0,,0.0
feature_462,0,0.0,0.0,,0.0
feature_463,0,0.0,0.0,,0.0
feature_464,0,0.0,0.0,,0.0
feature_465,0,0.0,0.0,,0.0
feature_466,0,0.0,0.0,,0.0
feature_478,0,0.0,0.0,,0.0
feature_481,0,0.0,0.0,,0.0
feature_498,0,0.0,0.0,,0.0
feature_501,0,0.0,0.0,,0.0
feature_502,0,0.0,0.0,,0.0
feature_503,0,0.0,0.0,,0.0
feature_504,0,0.0,0.0,,0.0
feature_505,0,0.0,0.0,,0.0
feature_506,0,0.0,0.0,,0.0
feature_507,0,0.0,0.0,,0.0
feature_508,0,0.0,0.0,,0.0
feature_509,0,0.0,0.0,,0.0
feature_512,0,0.0,0.0,,0.0
feature_513,0,0.0,0.0,,0.0
feature_514,0,0.0,0.0,,0.0
feature_515,0,0.0,0.0,,0.0
feature_516,0,0.0,0.0,,0.0
feature_518,0,0.0,0.0,,0.0
feature_528,0,0.0,0.0,,0.0
feature_529,0,0.0,0.0,,0.0
feature_530,0,0.0,0.0,,0.0
feature_531,0,0.0,0.0,,0.0
feature_532,0,0.0,0.0,,0.0
feature_533,0,0.0,0.0,,0.0
feature_534,0,0.0,0.0,,0.0
feature_535,0,0.0,0.0,,0.0
feature_536,0,0.0,0.0,,0.0
feature_537,0,0.0,0.0,,0.0
feature_538,0,0.0,0.0,,0.0
feature_085,0,-1.0999298208443241e-06,1.9051343344625022e-06,,0.0
feature_224,0,-3.574155246641174e-06,5.467689517492262e-05,217.0,0.0
feature_545,0,-6.123848716441116e-06,1.0606817114741468e-05,,0.0
feature_517,0,-9.730665311259249e-06,1.6854006710549046e-05,,0.0
feature_492,0,-1.206318069773344e-05,2.08940418693585e-05,,0.0
feature_164,0,-1.360212927141367e-05,0.0010568839609336699,44.0,0.0
feature_034,0,-1.588931466293734e-05,0.0007759607852627593,110.0,0.0
feature_018,0,-1.6870327709157475e-05,0.0005311318597977469,61.0,0.0
feature_077,0,-1.927527229641914e-05,0.0002438908725875484,178.0,0.0
feature_571,0,-2.1782677957497527e-05,0.00026244427182346475,152.0,0.0
feature_471,0,-2.383389672802755e-05,0.0013814684127646812,21.0,0.0
feature_267,0,-2.405365458835416e-05,0.00031150064562203493,169.5,0.0
feature_134,0,-2.991091778653841e-05,0.0005741842399231939,119.0,0.0
feature_029,0,-3.178127858901066e-05,0.000626093397889563,131.5,0.0
feature_543,0,-3.482245620464267e-05,6.031426339078321e-05,,0.0
feature_293,0,-3.7101823070543866e-05,0.000259351396398521,156.0,0.0
feature_383,0,-4.0197592042053804e-05,6.962427175876357e-05,,0.0
feature_310,0,-4.7251784219965664e-05,0.0003659234175323107,138.0,0.0
feature_294,0,-4.749145434756788e-05,0.0002724134803313825,154.0,0.0
feature_181,0,-4.805491759349915e-05,0.00047126730663218306,158.0,0.0
feature_109,0,-4.924131218624216e-05,8.528845453793194e-05,,0.0
feature_078,0,-5.082729109825218e-05,0.00012665995778483944,195.0,0.0
feature_579,0,-5.2254651010136266e-05,0.00048494617417211395,100.0,0.0
feature_136,0,-5.261060925852401e-05,0.0008902921246870292,98.0,0.0
feature_340,0,-5.2919158416178375e-05,0.0006017772416840129,114.0,0.0
feature_553,0,-5.610072590267313e-05,0.00024421920797007313,171.0,0.0
feature_117,0,-5.804235966490863e-05,0.00022669076649141907,195.0,0.0
feature_187,0,-5.826958735182278e-05,0.0011666560554551874,93.0,0.0
feature_060,0,-5.953656499664947e-05,0.00023237284052659044,168.0,0.0
feature_335,0,-6.047000781179901e-05,0.0006018484511492102,139.0,0.0
feature_469,0,-6.090200102041449e-05,0.00020100344828179428,177.0,0.0
feature_245,0,-6.188581599803993e-05,0.00010718937757646398,,0.0
feature_208,0,-6.823410794793642e-05,0.000373423868299208,177.5,0.0
feature_350,0,-7.223421569612426e-05,0.0006737592207701946,138.5,0.0
feature_090,0,-7.606554179946042e-05,0.001343578220346033,27.0,0.0
feature_423,0,-7.868601233455457e-05,0.0010093732935736706,138.5,0.0
feature_094,0,-7.87447813364903e-05,8.921228931128328e-05,214.0,0.0
feature_331,0,-8.295807510107839e-05,0.00030053660817442674,164.0,0.0
feature_211,0,-8.316059531457267e-05,0.0004887667981929862,107.0,0.0
feature_095,0,-8.377340041412079e-05,0.0010915187721434142,41.0,0.0
feature_220,0,-9.664780975078635e-05,0.00016739891692861273,,0.0
feature_098,0,-9.940249917127451e-05,0.0006374067237220619,148.0,0.0
feature_367,0,-0.00010393915595171878,0.0008456319795450685,135.5,0.0
feature_453,0,-0.00010817696455624041,0.0006633092641496496,76.0,0.0
feature_148,0,-0.00010854317534822466,0.0004050563619276645,133.0,0.0
feature_292,0,-0.0001093128421533196,0.0001893353965293064,,0.0
feature_155,0,-0.00011638139633210014,0.0008015470543249049,137.0,0.0
feature_365,0,-0.00011656655038243487,0.0001481790415390164,,0.0
feature_433,0,-0.0001211872382277595,0.0010104675033077628,96.5,0.0
feature_246,0,-0.00012138447308906237,0.00021024407464023312,,0.0
feature_578,0,-0.00012272326583007682,0.00046179674925326056,170.0,0.0
feature_410,0,-0.0001270536640230268,0.000319239963215707,189.0,0.0
feature_157,0,-0.00012710335338243938,0.000241967866543077,220.0,0.0
feature_382,0,-0.00014309478928699096,0.000247847445343431,,0.0
feature_016,0,-0.00014601266612152767,0.001431871180586368,104.5,0.0
feature_570,0,-0.0001471423187785381,0.000647708384104197,153.5,0.0
feature_582,0,-0.00015495869688696924,0.0005725961908503636,81.0,0.0
feature_297,0,-0.00015557443484219327,0.00048285547401580564,134.0,0.0
feature_204,0,-0.00016011258947607834,0.0002806170534427502,185.0,0.0
feature_460,0,-0.00016715629702711364,0.00026083886981888727,186.0,0.0
feature_346,0,-0.0001696589328941084,0.0005920180310188937,120.0,0.0
feature_362,0,-0.00017830366697114887,0.0004957333257067287,191.5,0.0
feature_428,0,-0.00018776643558557888,0.0003637069398696707,183.0,0.0
feature_454,0,-0.00019524498031297765,0.001231668214110562,82.5,0.0
feature_088,0,-0.00020712114379060052,0.0005450858860591422,101.0,0.0
feature_547,0,-0.00020725334017485572,0.0006312709375481011,141.0,0.0
feature_447,0,-0.00021470642741123957,0.00014853188248115697,,0.0
feature_019,0,-0.00021473163149485607,0.00083300427193174,153.5,0.0
feature_317,0,-0.0002154130392275471,0.0005851209758998857,177.0,0.0
feature_566,0,-0.000216406483481107,0.0003129974407615802,178.0,0.0
feature_176,0,-0.00021845586653638518,0.00034272302117263804,176.0,0.0
feature_304,0,-0.00021958845316876537,0.0005186933636385601,135.0,0.0
feature_583,0,-0.0002207114101709797,3.7611806882778586e-05,,0.0
feature_560,0,-0.00022154851091517636,0.0005203007249925275,169.0,0.0
feature_320,0,-0.00022221504560098067,0.0008633834117780696,140.0,0.0
feature_448,0,-0.00022607828859355866,0.0009065545010097204,86.0,0.0
feature_425,0,-0.00022721643580028865,0.0010369113206329663,120.0,0.0
feature_568,0,-0.00023092636669133022,0.0003226959869001475,195.0,0.0
feature_279,0,-0.00023872243717655483,0.0009863185833856028,101.0,0.0
feature_576,0,-0.0002469814087757612,0.0011426532547754267,25.0,0.0
feature_295,0,-0.0002475883529112226,0.0011834579148543277,112.0,0.0
feature_452,0,-0.0002544528744164057,0.000809902681546674,51.0,0.0
feature_413,0,-0.0002544566233592964,0.00048516259773204564,181.0,0.0
feature_063,0,-0.00025628543167076904,0.0015584937701612221,86.5,0.0
feature_581,0,-0.00026851447109491213,0.00011966669605324085,,0.0
feature_544,0,-0.0002696756824615519,0.00046709198358921896,,0.0
feature_487,0,-0.0002723305754757015,0.0012851785681161569,91.0,0.0
feature_406,0,-0.0002776288095950303,0.0005317854660205554,217.0,0.0
feature_359,0,-0.0002783117188997139,0.0003373981516858,,0.0
feature_556,0,-0.00028155843058277284,0.000435257642308055,158.0,0.0
feature_137,0,-0.00028426321716091413,0.0011179561373624303,110.0,0.0
feature_575,0,-0.00028782704581858633,0.000671311791437759,162.0,0.0
feature_299,0,-0.00029157020022760094,0.00016812074102174745,,0.0
feature_084,0,-0.0002919420612793754,0.0006026333747167445,195.0,0.0
feature_161,0,-0.00029411664249739337,0.0011936563826813837,104.0,0.0
feature_116,0,-0.00030866447865889046,0.0006681985133296549,147.0,0.0
feature_271,0,-0.0003100034908180352,0.0005823236950366471,186.0,0.0
feature_546,0,-0.00031443894298917226,0.0006075080377092061,161.0,0.0
feature_389,0,-0.00031508718303800465,0.0007746726221200017,183.5,0.0
feature_574,0,-0.00032183990201747507,0.0003520175273122476,,0.0
feature_112,0,-0.00032357803753091,0.00112729953090634,64.0,0.0
feature_363,0,-0.00032720980551220286,0.0007627139398050765,91.0,0.0
