feature,folds_retained,top_k_count,mean_standardized_coefficient,mean_absolute_coefficient,coefficient_std,positive_sign_fraction,sign_consistency,retained_frequency,top_k_frequency
feature_553,15,0,-0.22491060302747784,0.2763383858334001,0.23939919898910944,0.26666666666666666,0.7333333333333334,1.0,0.0
feature_455,15,0,0.2717281599752484,0.2717281599752484,0.1438083214814922,1.0,1.0,1.0,0.0
feature_150,15,0,0.22183934154556487,0.2702329499016025,0.250475036479423,0.8,0.8,1.0,0.0
feature_161,15,0,-0.26876298042619434,0.26876298042619434,0.1211796249749684,0.0,1.0,1.0,0.0
feature_289,15,0,-0.23729424453381961,0.26821349239858056,0.22069668271546078,0.13333333333333333,0.8666666666666667,1.0,0.0
feature_047,15,0,0.22866564565177755,0.2676241260274492,0.2541145537903801,0.8,0.8,1.0,0.0
feature_343,15,0,-0.26654582039397584,0.26654582039397584,0.14218313705337157,0.0,1.0,1.0,0.0
feature_551,15,0,0.2639120038794678,0.2639120038794678,0.08838665959845951,1.0,1.0,1.0,0.0
feature_448,15,0,-0.2622800680130924,0.2622800680130924,0.11338223739450685,0.0,1.0,1.0,0.0
feature_338,15,0,-0.26109415143098436,0.26109415143098436,0.09061378223895303,0.0,1.0,1.0,0.0
feature_130,15,0,0.1220382951949509,0.26036273453506326,0.2961599178195528,0.7333333333333333,0.7333333333333333,1.0,0.0
feature_148,15,0,-0.21434231633557396,0.2597097096816012,0.17299475063156086,0.13333333333333333,0.8666666666666667,1.0,0.0
feature_431,15,0,0.2574198085294031,0.2574198085294031,0.12962941831087363,1.0,1.0,1.0,0.0
feature_170,15,0,0.2460577989178418,0.257073603305649,0.1562310738216255,0.9333333333333333,0.9333333333333333,1.0,0.0
feature_032,15,0,0.21035322454719893,0.256410773738215,0.27151098637749965,0.8,0.8,1.0,0.0
feature_239,15,0,0.13186119798679974,0.2550664787901622,0.24924012881003432,0.8,0.8,1.0,0.0
feature_351,15,0,0.07033819230263876,0.2543677282608742,0.2942723233890491,0.7333333333333333,0.7333333333333333,1.0,0.0
feature_095,15,0,0.2539575474115774,0.2539575474115774,0.1311615774429035,1.0,1.0,1.0,0.0
feature_418,15,0,-0.25297715908900464,0.25297715908900464,0.13430234808251898,0.0,1.0,1.0,0.0
feature_483,15,0,0.17996392458173285,0.2521581221534663,0.21883879178348636,0.8666666666666667,0.8666666666666667,1.0,0.0
feature_441,15,0,0.2368823354347083,0.25160085554613965,0.17135475563182737,0.9333333333333333,0.9333333333333333,1.0,0.0
feature_359,15,0,0.22791469136986295,0.2514722651235152,0.2050375356088936,0.8666666666666667,0.8666666666666667,1.0,0.0
feature_102,15,0,-0.23775625137465387,0.25122051978839444,0.14740056682920294,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_167,15,0,-0.1388112418629724,0.24741924700324386,0.24287586737923514,0.2,0.8,1.0,0.0
feature_335,15,0,-0.22723502581363875,0.24716570083664557,0.17373672214161953,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_031,15,0,0.18628152156911285,0.24673375956225704,0.21999957590322566,0.8,0.8,1.0,0.0
feature_082,15,0,-0.05723962260099331,0.24629618994824146,0.28055877731376444,0.4,0.6,1.0,0.0
feature_385,15,0,-0.11902605649601998,0.2441453177447222,0.27770078148497107,0.3333333333333333,0.6666666666666667,1.0,0.0
feature_177,15,0,-0.2434729715305557,0.2434729715305557,0.11485517544383247,0.0,1.0,1.0,0.0
feature_564,15,0,0.24346004875598762,0.24346004875598762,0.12193764530787886,1.0,1.0,1.0,0.0
feature_018,15,0,-0.21836813013760178,0.2428895917099605,0.20971985804932777,0.13333333333333333,0.8666666666666667,1.0,0.0
feature_300,15,0,-0.24123438778103015,0.24123438778103015,0.14411275925697742,0.0,1.0,1.0,0.0
feature_044,15,0,0.18321852425200108,0.24042691721170423,0.20884306228575547,0.8,0.8,1.0,0.0
feature_356,15,0,-0.09125637381026167,0.24037501705192063,0.28213278326431535,0.4,0.6,1.0,0.0
feature_575,15,0,0.21615435805918656,0.24023480704633962,0.2187882495531518,0.7333333333333333,0.7333333333333333,1.0,0.0
feature_010,15,0,-0.17718000274592588,0.23999396094621836,0.24290234757909718,0.3333333333333333,0.6666666666666667,1.0,0.0
feature_587,15,0,0.14228855821282013,0.23938684933231322,0.25465421585373443,0.8,0.8,1.0,0.0
feature_183,15,0,0.23550233751582136,0.2381372844231752,0.13635844306990838,0.9333333333333333,0.9333333333333333,1.0,0.0
feature_096,15,0,-0.1196332884934111,0.23806542032131178,0.24345705890382988,0.2,0.8,1.0,0.0
feature_468,15,0,-0.22659735544375578,0.23705823055293576,0.1494212119421279,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_376,15,0,0.07911887197618687,0.23661397641611745,0.25976067366254035,0.6666666666666666,0.6666666666666666,1.0,0.0
feature_546,15,0,0.11657832319934937,0.2362097078515158,0.24831170350674966,0.7333333333333333,0.7333333333333333,1.0,0.0
feature_440,15,0,-0.23325891532929763,0.23461754815457928,0.1472338766506749,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_293,15,0,0.09797127629763769,0.23289720415963985,0.24967928016400467,0.6666666666666666,0.6666666666666666,1.0,0.0
feature_160,15,0,0.2312038777545134,0.2312038777545134,0.09762316575954984,1.0,1.0,1.0,0.0
feature_184,15,0,0.14986498444407176,0.23069566828390203,0.23522910132602357,0.8666666666666667,0.8666666666666667,1.0,0.0
feature_035,15,0,-0.2297622456925587,0.2297622456925587,0.1369509839356577,0.0,1.0,1.0,0.0
feature_574,15,0,-0.22674056944447823,0.2296285458891454,0.16142462756357684,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_158,15,0,0.17699058738759937,0.2291359594649907,0.20001648558020987,0.8,0.8,1.0,0.0
feature_391,15,0,0.20114435171392028,0.2290258712605127,0.2099172368623651,0.8666666666666667,0.8666666666666667,1.0,0.0
feature_472,15,0,-0.05764140999054203,0.22780327211851253,0.27524377324403726,0.3333333333333333,0.6666666666666667,1.0,0.0
feature_175,15,0,-0.21994778178963695,0.22738490079170395,0.1146557855779814,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_274,15,0,0.17292565651141606,0.2266503509004327,0.2176003329110754,0.8666666666666667,0.8666666666666667,1.0,0.0
feature_428,15,0,-0.22659530479117407,0.22659530479117407,0.11186005396986469,0.0,1.0,1.0,0.0
feature_297,15,0,0.18029002676840905,0.22524833252616178,0.21740427018804984,0.8666666666666667,0.8666666666666667,1.0,0.0
feature_446,15,0,-0.21778455595471852,0.22505976737895736,0.11352116152232263,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_571,15,0,-0.21477845689139355,0.22391853751291815,0.11406492154499977,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_485,15,0,-0.20270333176699365,0.22351770585727043,0.22962535004532375,0.26666666666666666,0.7333333333333334,1.0,0.0
feature_121,15,0,0.22341382598831747,0.22341382598831747,0.12313120391608975,1.0,1.0,1.0,0.0
feature_346,15,0,0.22247719569174004,0.22247719569174004,0.15211251634331097,1.0,1.0,1.0,0.0
feature_116,15,0,0.03225000684074733,0.22146565048610453,0.2744320573645809,0.6,0.6,1.0,0.0
feature_474,15,0,0.09332360051893027,0.22023195846364413,0.2679086453570335,0.6666666666666666,0.6666666666666666,1.0,0.0
feature_174,15,0,0.21999470133426471,0.21999470133426471,0.08843055537803084,1.0,1.0,1.0,0.0
feature_561,15,0,0.21257735183058954,0.2196519772919889,0.13070226579016164,0.8666666666666667,0.8666666666666667,1.0,0.0
feature_570,15,0,0.03249259618481735,0.2193188691354828,0.27992946852485573,0.6,0.6,1.0,0.0
feature_319,15,0,0.1399742454143328,0.21882324840017678,0.2093953976721461,0.7333333333333333,0.7333333333333333,1.0,0.0
