feature,impurity_importance
feature_409,0.0017840323779102453
feature_583,0.0017655884489055603
feature_170,0.001763601907177022
feature_107,0.0017532757340752425
feature_060,0.0017521220209529278
feature_027,0.0017366745346850065
feature_135,0.0017337828305241437
feature_185,0.0017245799926494394
feature_250,0.0017217082270336729
feature_079,0.001719928839418666
feature_386,0.0017176605572650186
feature_003,0.0017148015455959273
feature_022,0.001710446738364741
feature_283,0.0017102946485260387
feature_123,0.0016982404267592086
feature_435,0.0016916154225435985
feature_219,0.0016912890337403377
feature_275,0.0016908408483390467
feature_456,0.0016838751070529826
feature_439,0.0016767097000889952
feature_304,0.00167211954924008
feature_150,0.0016607593492965382
feature_196,0.0016551662159387862
feature_038,0.0016517968353047569
feature_391,0.001650685388953105
feature_148,0.0016489913645731497
feature_421,0.0016469865602923247
feature_061,0.0016416100376700335
feature_041,0.0016398938277161854
feature_176,0.0016394280560088615
feature_173,0.0016363861051557475
feature_080,0.0016362107716294736
feature_239,0.0016331103096120178
feature_188,0.001626845170157024
feature_299,0.001622480701470671
feature_217,0.0016134838077327628
feature_174,0.0016035134660479747
feature_025,0.0015902340152105718
feature_143,0.0015900969929860803
feature_020,0.0015898042058814193
feature_574,0.001566680981465614
feature_357,0.0015639690423818581
feature_324,0.0015594406088048458
feature_228,0.0015577290303557692
feature_572,0.0015565481273031368
feature_438,0.0015469883231972814
feature_567,0.0015465166873776773
feature_354,0.0015453381624444054
feature_140,0.0015414221159632344
feature_118,0.0015411938004662503
feature_437,0.0015375688107981508
feature_558,0.0015285792368507731
feature_210,0.001527399430543545
feature_211,0.0015227229641790094
feature_142,0.0015217807057028747
feature_253,0.0015217747918343796
feature_104,0.0015174993379396685
feature_494,0.0015163513372816702
feature_476,0.0015156640919925517
feature_539,0.0015130914085126803
feature_570,0.0015107620122099404
feature_393,0.0015060574646433914
feature_093,0.0015046473678747326
feature_055,0.0014998342081831003
feature_051,0.0014998162714438704
feature_171,0.0014884946152873178
feature_589,0.0014847252816385349
feature_553,0.0014843405553408109
feature_559,0.0014820152261474713
feature_096,0.001481582142214546
feature_168,0.001479655201498864
feature_116,0.0014569019649917825
feature_332,0.0014549143295105814
feature_223,0.0014527237171160026
feature_108,0.0014359434355754464
feature_221,0.001435500951740676
feature_340,0.001426487311190605
feature_082,0.0014164487653549657
feature_556,0.0014153969477233958
feature_320,0.0014149868213690147
feature_026,0.0014144206025235642
feature_470,0.0014094927993445056
feature_522,0.0014086456807528768
feature_388,0.0014074529660569575
feature_006,0.0014057152363410835
feature_302,0.001404429415876219
feature_306,0.0014042242442691977
feature_156,0.0014031683695290603
feature_291,0.0014006715612987198
feature_432,0.0013917237318560322
feature_071,0.001390805464931187
feature_057,0.001389348287878536
feature_138,0.0013783992914729614
feature_427,0.0013657215831963034
